time_s,gap_m,roi_mean_ppm,roi_std_ppm,roi_volume_m3,minimum_ppm,maximum_ppm,inventory_ppm_m3,deficit_ppm_m3,max_speed_m_s,budget_residual_ppm_m3,budget_fraction,divergence_s_inv,gcl_m3,max_courant,eddy_diffusivity_m2_s,source_umol_s,mouth_inflow_m3_s,mouth_outflow_m3_s,centre_low_ppm,centre_mid_ppm,centre_high_ppm,left_mid_ppm,right_mid_ppm,left_half_mean_ppm,right_half_mean_ppm,shell_volume_m3,shell_mean_ppm,shell_std_ppm,fans_on,fan_force_n,roi_mean_speed_m_s
0,0.0,400.0,0.0,96.0,400.0,400.0,520800.0000000001,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,-44.40047791098563,0.0,0.0,400.0,400.0,400.0,400.0,400.0000000000001,400.0,400.0,96.0,400.0,0.0,1,1.5383767444688012,0.0
0.5,0.0,399.9943423144821,0.03415762790531752,96.0,399.570993853334,400.0000000000046,520799.45686219016,0.5431378098220712,1.5166000665985437,-1.751627065615935e-09,8.958372376609575e-13,5.995204332975848e-14,3.747002708109903e-15,3.5434019677580273,0.02183529496232775,-44.40047791098563,0.0,0.0,399.98755243560737,399.9764728582462,399.9999997493029,399.9992201779091,399.9520093232687,399.9953810869659,399.99330354199833,96.0,399.9943423144821,0.03415762790531752,1,1.5383767444688012,0.010571827000808031
1.0,0.0,399.9886846291063,0.06749987141083917,96.0,399.1464647384306,400.0000000000038,520798.91372439417,1.086275605898357,1.523495999613698,1.0464481281502458e-08,5.351865239350796e-12,2.0469737016526324e-15,1.0408340855860843e-16,3.4862302524339013,0.021468925005871768,-44.40047791098563,0.0,0.0,399.97284344306973,399.9508232780774,399.99999322437634,399.9979407228736,399.9067000239072,399.9907283620205,399.9866408961921,96.0,399.9886846291063,0.06749987141083917,1,1.5383767444688012,0.020621097965392198
1.5,0.0,399.98302694359273,0.09907335650751063,96.0,398.745079095908,400.0000000000037,520798.37058658485,1.6294134151835236,1.5272266759641369,9.351148966274536e-09,4.78247203605398e-12,1.8503717077085944e-15,1.1102230246251565e-16,3.4464901858095205,0.021215243841470055,-44.40047791098563,0.0,0.0,399.954847853025,399.9203703110886,399.99995739333076,399.9958809936703,399.864437471896,399.98601234404197,399.98004154314384,96.0,399.98302694359273,0.09907335650751063,1,1.5383767444688012,0.02987615526273067
2.0,0.0,399.9773692580081,0.12857591647559277,96.0,398.3743569743682,400.0000000000034,520797.8274487687,2.172551231317672,1.534579435109432,1.4263834557937116e-09,7.294974141280503e-13,2.220446049250313e-15,9.71445146547012e-17,3.4191827287330256,0.021065584804375835,-44.40047791098563,0.0,0.0,399.93368094236854,399.88454854072234,399.99984621233557,399.9929100675618,399.8266607988396,399.98120998245867,399.9735285335575,96.0,399.9773692580081,0.12857591647559277,1,1.5383767444688012,0.03829580695739589
2.5,0.0,399.9717115723904,0.15545828204822032,96.0,398.0369975917168,400.00000000000324,520797.2843109494,2.7156890506193117,1.5401574157392048,-9.699519409878121e-09,4.960639650614571e-12,2.2204460492503135e-15,1.3877787807814457e-16,3.403609973370947,0.020965754410901562,-44.40047791098563,0.0,0.0,399.91040383368244,399.8438949810348,399.99958816185915,399.9890264846721,399.79426635343,399.97630599302806,399.9671171517526,96.0,399.9717115723904,0.15545828204822032,1,1.5383767444688012,0.04596120129388561
3.0,0.0,399.9660538866121,0.18011802028531002,96.0,397.73850429671455,400.00000000000324,520796.7411731147,3.258826885328295,1.5454103629587304,-3.6193950059271174e-08,1.8510725757560007e-11,2.220446049250313e-15,1.249000902703301e-16,3.3926510939510144,0.020897241555103054,-44.40047791098563,0.0,0.0,399.88647505278834,399.799409417587,399.9990928789551,399.98437565683446,399.76763823805913,399.97129241067296,399.96081536255133,96.0,399.9660538866121,0.18011802028531002,1,1.5383767444688012,0.05297818470607063
3.5,0.0,399.9603962009467,0.20283494544081498,96.0,397.48021586022645,400.0000000000029,520796.1980352909,3.801964709196964,1.5494433506287826,-5.180275230998177e-08,2.6493558728090643e-11,2.1510571102112408e-15,1.249000902703301e-16,3.384857018595981,0.020849040911026767,-44.40047791098563,0.0,0.0,399.863355750391,399.7524631710959,399.9982587732226,399.9792124260457,399.74655260744277,399.9661627526262,399.95462964926725,96.0,399.9603962009467,0.20283494544081498,1,1.5383767444688012,0.0594497673256409
4.0,0.0,399.95473851525657,0.22389588238120542,96.0,397.2622168724143,400.00000000000256,520795.6548974647,4.345102535453384,1.5520920719090059,-6.979602229506554e-08,3.5695883581558944e-11,2.220446049250313e-15,1.3183898417423734e-16,3.3792501250080664,0.02082927205467495,-44.40047791098563,0.0,0.0,399.8421556497192,399.7043137117762,399.99697668031837,399.9731776359856,399.73053175430067,399.96091032138276,399.94856670913026,96.0,399.95473851525657,0.22389588238120542,1,1.5383767444688012,0.06545292471868193
4.5,0.0,399.94908082954447,0.24349919991549723,96.0,397.0864249557417,400.0000000000023,520795.1117596363,4.888240363804351,1.5536987607211774,-8.994763689429419e-08,4.600205383397696e-11,2.275957200481571e-15,1.4224732503009818e-16,3.375149971993192,0.02083923297687108,-44.40047791098563,0.0,0.0,399.82362694158485,399.65555120164703,399.9951413470503,399.9658537046537,399.7188159394504,399.9555274316338,399.94263422745524,96.0,399.94908082954447,0.24349919991549723,1,1.5383767444688012,0.07104903114497489
